id,sessionid,login,login_time,login_year,login_month,login_day,logout_time,impersonated,access_ip,impersonated_by
1,7rs8bkf694cjnf822qfjs1enc1,admin,"2020-11-06 10:05:38",2020,11,06,"2020-11-06 11:22:33",N,::1,
2,uj00nj7abdsbf34bq01v1rn2dl,admin,"2020-11-06 11:22:38",2020,11,06,"0000-00-00 00:00:00",N,::1,
3,shqeidnqsreqktp4veq7sg14ai,admin,"2020-11-08 15:19:52",2020,11,08,"2020-11-08 15:20:25",N,::1,
4,s9fsadrni9qqi2sek0h0cr9p4i,admin,"2020-11-08 15:21:54",2020,11,08,"2020-11-08 15:23:03",N,::1,
5,e5il90ilhudln7a0drr8kstrfv,admin,"2020-11-08 15:31:32",2020,11,08,"2020-11-08 15:31:37",N,::1,
6,0pe3ifj6vpb5qmkcg8e4qj4400,admin,"2020-11-08 15:32:13",2020,11,08,"2020-11-08 15:32:23",N,::1,
7,t21sf9ljcddlhlass0r2t0uk8q,admin,"2020-11-08 15:35:19",2020,11,08,"2020-11-08 21:58:00",N,::1,
8,ihcnds5766ho3kkt005ann596m,admin,"2020-11-08 21:58:17",2020,11,08,"2020-11-08 23:21:22",N,::1,
9,d3fjbf7o6pvsvto74q7ujci8vi,admin,"2020-11-09 20:20:38",2020,11,09,"0000-00-00 00:00:00",N,::1,
10,ao8auh7fn9haarhjupnmmbgd94,admin,"2020-12-22 16:56:07",2020,12,22,"2020-12-22 17:08:49",N,::1,
11,oibsrrt8i7caf3vsp5cisd49gs,admin,"2020-12-22 17:22:24",2020,12,22,"2020-12-22 18:52:34",N,::1,
12,fqjnbfut3s5m37v0est444dgdm,admin,"2020-12-22 18:52:45",2020,12,22,"0000-00-00 00:00:00",N,::1,
13,u4cofk3co0lt7j7g35ce048d80,admin,"2020-12-23 10:18:09",2020,12,23,"0000-00-00 00:00:00",N,::1,
14,et2lees2442jmll8git9efu5n2,admin,"2020-12-23 16:25:56",2020,12,23,"0000-00-00 00:00:00",N,::1,
15,642j5si08ps85el4tgd8r1tos1,admin,"2020-12-24 16:14:22",2020,12,24,"0000-00-00 00:00:00",N,::1,
16,1a74b23e0eef1164faae991fe0ccd401,admin,"2020-12-25 11:48:11",2020,12,25,"2020-12-25 21:48:09",N,::1,
17,9dd2574521d168ea5f3b4dbf3bc182b9,admin,"2020-12-25 21:48:22",2020,12,25,"0000-00-00 00:00:00",N,::1,
18,bf5b3804893189056b5a9ea4f855988f,admin,"2020-12-26 11:33:02",2020,12,26,"0000-00-00 00:00:00",N,::1,
19,bs6pb6n4nrasd57pmvr248dqsg,admin,"2020-12-27 12:54:43",2020,12,27,"2020-12-27 15:11:30",N,::1,
20,s02nihjhonf6qdponffqdupd8p,admin,"2020-12-27 15:11:39",2020,12,27,"0000-00-00 00:00:00",N,::1,
21,s18tmsjdi06u4rgcotg1pfchcq,admin,"2020-12-28 07:34:21",2020,12,28,"0000-00-00 00:00:00",N,::1,
22,vgqm9dsci6kfjq47mg062f0us0,admin,"2021-01-11 15:58:53",2021,01,11,"2021-01-11 15:59:07",N,::1,
23,2696ad3f8c6beaa4f83e873d71753717,admin,"2023-07-30 18:19:24",2023,07,30,"2023-07-30 18:20:35",N,10.100.50.233,
24,0dfc634ea29a2c97b9091cf19d97a0fd,admin,"2023-07-30 18:22:16",2023,07,30,"2023-07-30 18:23:37",N,10.100.50.233,
25,b6fccf4f49837ffc0cb6f47a0f9d3ec8,admin,"2023-07-30 18:23:43",2023,07,30,"2023-07-30 18:29:42",N,10.100.50.233,
26,c9a7e179cfadba480f7f95423d157c3e,admin,"2023-07-30 18:56:45",2023,07,30,"2023-07-30 19:08:34",N,10.100.50.233,
27,09f2fa5f8d22b6ddef1abfd42240ca52,admin,"2023-07-30 19:08:57",2023,07,30,"0000-00-00 00:00:00",N,10.100.50.233,
28,f92bc4356244c2226cb2f76676895234,admin,"2023-07-30 19:10:16",2023,07,30,"2023-07-30 19:41:26",N,10.100.50.233,
29,fbd8cfc3a2a76fe57402189a776eca15,admin,"2023-07-31 06:26:51",2023,07,31,"0000-00-00 00:00:00",N,10.100.50.233,
30,6baf3ed3b91b743240a34d42da9f77fc,admin,"2023-07-31 07:09:08",2023,07,31,"2023-07-31 07:23:30",N,10.100.50.233,
31,ff38cdd76d7dd48b760f90a227e59ab0,admin,"2023-08-01 11:20:28",2023,08,01,"0000-00-00 00:00:00",N,10.100.50.233,
32,de35248dc2a6f3e6048492b0b5b5a664,admin,"2023-08-04 14:09:51",2023,08,04,"2023-08-04 14:10:30",N,10.100.50.233,
33,f2a61a6973a33b190121a50f29ab5c7e,admin,"2023-08-04 14:15:27",2023,08,04,"2023-08-06 10:46:25",N,10.100.50.233,
34,sdmqsldj9jlkv0uillb4fkatm0,admin,"2023-09-02 11:36:50",2023,09,02,"0000-00-00 00:00:00",N,::1,
35,h3df97u094dctvtfe8dbm627cd,admin,"2023-09-02 15:35:50",2023,09,02,"2023-09-02 15:37:35",N,::1,
36,r3midi3kb2kf41o4pq135j7hjm,admin,"2023-09-02 15:37:39",2023,09,02,"2023-09-02 15:52:49",N,::1,
37,56q6fdlr5alk9keg9g7ro5c8vp,admin,"2023-09-02 15:52:54",2023,09,02,"2023-09-02 17:40:31",N,::1,
38,70m5jmuiqea11qgvi1k8pcrep5,admin,"2023-09-02 17:40:56",2023,09,02,"0000-00-00 00:00:00",N,127.0.0.1,
39,dm3djfvr9c8nu8qbq75h136qp5,admin,"2023-09-02 17:49:18",2023,09,02,"0000-00-00 00:00:00",N,::1,
40,p2e84jch26m5htv9khlc1lob3f,admin,"2023-09-04 15:27:07",2023,09,04,"2023-09-04 16:22:24",N,::1,
41,3cn1anq4jeshh833drm5sbtm9p,admin,"2023-09-04 16:22:29",2023,09,04,"2023-09-04 17:38:42",N,::1,
42,d9qngp8lbelgs2o3fn02s7ekd2,admin,"2023-09-04 17:43:40",2023,09,04,"2023-09-04 18:42:29",N,::1,
43,8df66ru9ic8nhfl8pckcm212qb,admin,"2023-09-04 18:42:34",2023,09,04,"2023-09-04 19:13:26",N,::1,
44,380e07dbced52f35cbf5f096c78b4716,admin,"2023-09-04 18:46:36",2023,09,04,"2023-09-04 18:59:44",N,10.101.20.89,
45,e9596e4161c466fbc9069d36752b9f44,admin,"2023-09-05 20:47:46",2023,09,05,"2023-09-05 20:55:38",N,10.101.20.89,
46,c8c4b1fd824dea7eaa4b9db811286ab2,admin,"2023-09-06 09:53:24",2023,09,06,"0000-00-00 00:00:00",N,10.101.20.89,
47,99677eb08feeb992d5bb2a18d7380af5,admin,"2023-09-06 13:54:10",2023,09,06,"0000-00-00 00:00:00",N,10.101.20.89,
48,8a735842b1bf4abb748db5a857e884a9,thainara,"2023-09-06 14:47:45",2023,09,06,"2023-09-06 14:48:59",N,10.101.20.89,
49,883f1b793db8500bbcd1324e2b7e8612,luciene,"2023-09-06 14:47:55",2023,09,06,"0000-00-00 00:00:00",N,10.101.20.89,
50,2d6c3d7a343f96ab01c3aae7331680a5,thainara,"2023-09-06 14:49:03",2023,09,06,"2023-09-06 14:49:21",N,10.101.20.89,
51,f9564d087e0e855f06700e84683dc565,luciene,"2023-09-06 14:49:37",2023,09,06,"2023-09-06 14:50:04",N,10.101.20.89,
52,2543f351ef128c38d0b4110f55e948b0,thainara,"2023-09-06 14:50:16",2023,09,06,"0000-00-00 00:00:00",N,10.101.20.89,
53,796813056a4504f79ab537f9a6c200a4,admin,"2023-09-07 21:37:35",2023,09,08,"0000-00-00 00:00:00",N,10.101.20.89,
54,61c41466684ce12e3daa9842a1b5c739,admin,"2023-09-08 08:40:25",2023,09,08,"0000-00-00 00:00:00",N,10.101.20.89,
55,e68b248c639570ee3cfe3fa96bce450d,luciene,"2023-09-08 09:19:52",2023,09,08,"0000-00-00 00:00:00",N,10.101.20.89,
56,9695d7bd5868a9b95579ca95de410bee,luciene,"2023-09-08 09:47:41",2023,09,08,"2023-09-08 09:56:05",N,10.101.20.89,
57,a173801b1416d027932c19ba6e473f49,luciene,"2023-09-08 10:53:38",2023,09,08,"0000-00-00 00:00:00",N,10.101.20.89,
58,627e91aae7adce4d332853dd88c5b319,admin,"2023-09-08 13:26:06",2023,09,08,"0000-00-00 00:00:00",N,10.101.20.89,
59,f0945cda91ef6d90813fa4950cda9668,admin,"2023-09-08 18:43:23",2023,09,08,"0000-00-00 00:00:00",N,10.101.20.89,
60,3079e24633e745b84b0d851afb2b47bf,luciene,"2023-09-11 11:22:29",2023,09,11,"0000-00-00 00:00:00",N,10.101.20.89,
61,376fa9c498bdf4e442f51872345a23ee,admin,"2023-09-21 13:00:05",2023,09,21,"0000-00-00 00:00:00",N,10.101.20.89,
62,cc4dc72dae2c9438ab9a7e61e0546d1f,admin,"2023-11-05 11:54:50",2023,11,05,"2023-11-05 11:59:38",N,10.101.20.89,
63,3174ea722f9cd1829c41da799d4fc504,admin,"2023-11-05 12:13:49",2023,11,05,"2023-11-05 13:00:56",N,10.101.20.89,
64,600d9afa561820cb2d1879081ee7d495,luciene,"2023-11-06 10:16:36",2023,11,06,"0000-00-00 00:00:00",N,10.101.20.89,
65,adaa503619a052f8d7cdceff430c2ed1,luciene,"2023-11-06 10:54:05",2023,11,06,"0000-00-00 00:00:00",N,10.101.20.89,
66,3f01e11863c1ef2da2ecbff6d85108a9,admin,"2023-11-06 11:47:14",2023,11,06,"2023-11-06 11:55:30",N,10.101.20.89,
67,20f1de2c58f0ace78263a29748ca3f18,luciene,"2023-11-06 12:43:11",2023,11,06,"0000-00-00 00:00:00",N,10.101.20.89,
68,96e2de465a2931547b1b53364a152095,luciene,"2023-11-06 12:53:35",2023,11,06,"0000-00-00 00:00:00",N,10.101.20.89,
69,2afdb6634bd1e581b8e5d1e535b1100e,luciene,"2023-11-07 10:54:40",2023,11,07,"0000-00-00 00:00:00",N,10.101.20.89,
70,1db477ea1f417974aee44e763d3e02ae,admin,"2023-11-07 11:40:19",2023,11,07,"0000-00-00 00:00:00",N,10.101.20.89,
71,79a2dfb00a821b8023d05e2ce8d57cf9,luciene,"2023-11-07 12:24:24",2023,11,07,"0000-00-00 00:00:00",N,10.101.20.89,
72,1e80ab78c3ff67d53ac3c842f93c256e,luciene,"2023-11-08 11:19:11",2023,11,08,"0000-00-00 00:00:00",N,10.101.20.89,
73,d7eb9d294098c587ca0d8c0e0608f2ad,admin,"2023-11-08 14:15:04",2023,11,08,"0000-00-00 00:00:00",N,10.101.20.89,
74,acce88f382c06f29f88f08be51f52a71,luciene,"2023-11-10 07:33:17",2023,11,10,"0000-00-00 00:00:00",N,10.101.20.89,
75,2ef8f091e5c621077888d16518e38a10,admin,"2023-11-10 07:44:56",2023,11,10,"0000-00-00 00:00:00",N,10.101.20.89,
76,177bec3b9c8166475428e3c9fd75e4c3,luciene,"2023-11-10 07:51:14",2023,11,10,"0000-00-00 00:00:00",N,10.101.20.89,
77,a426731d88275c78cbb994a967fcdd94,luciene,"2023-11-10 11:12:16",2023,11,10,"0000-00-00 00:00:00",N,10.101.20.89,
78,0db44458817eba8f05a8ea62ac25738d,admin,"2023-11-10 12:08:32",2023,11,10,"2023-11-11 11:09:15",N,10.101.20.89,
79,d140eb76caa07116a53ba3cc52f5f1c4,luciene,"2023-11-10 16:43:49",2023,11,10,"0000-00-00 00:00:00",N,10.101.20.89,
80,abce2eb477e847778bfd1fa15d6d7086,admin,"2023-11-11 11:09:21",2023,11,11,"0000-00-00 00:00:00",N,10.101.20.89,
81,731fe9c86788240a567accd8a2e742d7,admin,"2023-11-12 20:38:41",2023,11,12,"2023-11-12 20:39:12",N,10.101.20.89,
82,b14e5b1d304d3309dab242a86b02ee23,luciene,"2023-11-13 13:25:09",2023,11,13,"0000-00-00 00:00:00",N,10.101.20.89,
83,e2e7ca74380201e9e1c980998d13c51f,admin,"2023-11-13 15:21:34",2023,11,13,"0000-00-00 00:00:00",N,10.101.20.89,
84,0a68dc4de33729932edafefd0e183ad5,luciene,"2023-11-13 17:25:03",2023,11,13,"0000-00-00 00:00:00",N,10.101.20.89,
85,1fa68ecada130ae82f95cccd4acbdca9,luciene,"2023-11-14 09:55:16",2023,11,14,"0000-00-00 00:00:00",N,10.101.20.89,
86,c0fb016cb5ffe9f4fc9289e448c665a2,luciene,"2023-11-14 10:22:06",2023,11,14,"0000-00-00 00:00:00",N,10.101.20.89,
87,3379e47a6364b52a48018f32d5c9d3a9,luciene,"2023-11-14 14:57:08",2023,11,14,"0000-00-00 00:00:00",N,10.101.20.89,
88,a3da3abcaae1b73eb92b8536e362fb4b,thainara,"2023-11-14 15:34:51",2023,11,14,"2023-11-14 16:29:51",N,10.101.20.89,
89,ac9147e2f88ffd9b5f3fd2a367ea2638,thainara,"2023-11-14 16:30:06",2023,11,14,"0000-00-00 00:00:00",N,10.101.20.89,
90,a4b00d61efd998ecaac8bfc7ee8e3e93,thainara,"2023-11-14 17:46:03",2023,11,14,"0000-00-00 00:00:00",N,10.101.20.89,
91,20d3e932fbf8927bf9b5fdb9350d1169,thainara,"2023-11-15 06:57:01",2023,11,15,"2023-11-15 13:55:10",N,10.101.20.89,
92,a7d3d38e514d32934a44c09ee69f0e53,luciene,"2023-11-15 07:00:32",2023,11,15,"0000-00-00 00:00:00",N,10.101.20.89,
93,d505d33c7a4d68a2bd21fb5ddb30693f,luciene,"2023-11-15 13:37:09",2023,11,15,"0000-00-00 00:00:00",N,10.101.20.89,
94,ba0a382cdc7c8f587852845dab0bd125,thainara,"2023-11-15 13:55:59",2023,11,15,"0000-00-00 00:00:00",N,10.101.20.89,
95,4cb1c03a24cf5b838156406ffed9508f,thainara,"2023-11-15 14:34:08",2023,11,15,"0000-00-00 00:00:00",N,10.101.20.89,
96,f1a62d3b9b7756fa8f2bb5ad5d45b125,admin,"2023-11-15 15:26:43",2023,11,15,"2023-11-15 15:30:52",N,10.101.20.89,
97,45ccb3a6dc831484cbee8ec79363f222,luciene,"2023-11-16 16:21:55",2023,11,16,"0000-00-00 00:00:00",N,10.101.20.89,
98,69b138e8a7b14fefe234d40e6971cc10,luciene,"2023-11-17 10:53:39",2023,11,17,"0000-00-00 00:00:00",N,10.101.20.89,
99,d7aa46557288e6673bdf20e6bfbfe049,luciene,"2023-11-17 11:06:00",2023,11,17,"0000-00-00 00:00:00",N,10.101.20.89,
100,657b39a340ca8a91cf03c3db291b7047,luciene,"2023-11-20 15:27:15",2023,11,20,"0000-00-00 00:00:00",N,10.101.20.89,
101,dadd64fb84920630ec1e1f45955eb44a,admin,"2023-11-21 15:32:08",2023,11,21,"0000-00-00 00:00:00",N,10.101.20.89,
102,c5ee4d15a9daa8103a0c17969f8c8c09,admin,"2023-11-26 21:20:20",2023,11,26,"2023-11-26 21:20:42",N,10.101.20.89,
103,8b83086cf12488956e64d6af1370a167,admin,"2023-11-26 21:21:10",2023,11,26,"2023-11-26 21:21:29",N,10.101.20.89,
104,de0da07dc3ca522f88d8866e961eb0dc,luciene,"2023-11-27 10:54:09",2023,11,27,"0000-00-00 00:00:00",N,10.101.20.89,
105,5a84f322639bbdd98ab0e051d7f3d8d9,luciene,"2023-11-27 14:08:37",2023,11,27,"0000-00-00 00:00:00",N,10.101.20.89,
106,2fd151685f2f4bc02219df0811f48d9d,luciene,"2023-11-28 16:47:19",2023,11,28,"0000-00-00 00:00:00",N,10.101.20.89,
107,63f53f9abbbc1e1292140d6c99224bac,luciene,"2023-11-29 07:48:41",2023,11,29,"0000-00-00 00:00:00",N,10.101.20.89,
108,e08c16391c699966568e7f93a2849999,luciene,"2023-11-30 09:01:00",2023,11,30,"0000-00-00 00:00:00",N,10.101.20.89,
109,19e247bb1fa2748d06af3aae3b4d5578,luciene,"2023-11-30 14:42:11",2023,11,30,"0000-00-00 00:00:00",N,10.101.20.89,
110,425a845fee8aeb1ed594042389699b61,luciene,"2023-11-30 16:15:34",2023,11,30,"0000-00-00 00:00:00",N,10.101.20.89,
111,8530691fb1e91030c56791c01895a95f,luciene,"2023-12-01 13:40:09",2023,12,01,"0000-00-00 00:00:00",N,10.101.20.89,
112,31aa18925e29d3a16e5f64d88a636621,luciene,"2023-12-04 17:29:45",2023,12,04,"0000-00-00 00:00:00",N,10.101.20.89,
113,13ca1a12d682b3542cdaf21579d76c60,luciene,"2023-12-05 11:49:18",2023,12,05,"0000-00-00 00:00:00",N,10.101.20.89,
114,b7c79ac70bb046e9bf348a87f34cfe1b,luciene,"2023-12-05 12:14:07",2023,12,05,"0000-00-00 00:00:00",N,10.101.20.89,
115,4b737653ab4be223496900a67b1d0971,luciene,"2023-12-06 10:46:47",2023,12,06,"0000-00-00 00:00:00",N,10.101.20.89,
116,b4cc490185012739e6a58c3c2af8200b,luciene,"2023-12-06 14:58:15",2023,12,06,"0000-00-00 00:00:00",N,10.101.20.89,
117,79c3167bd4fd4eed2b75463deff1a611,luciene,"2023-12-06 17:52:37",2023,12,06,"0000-00-00 00:00:00",N,10.101.20.89,
118,074df19af5fc31b4567570287b593a65,luciene,"2023-12-07 08:07:48",2023,12,07,"0000-00-00 00:00:00",N,10.101.20.89,
119,9497b6648dbac7171b06c88b597ec877,luciene,"2023-12-07 13:24:46",2023,12,07,"0000-00-00 00:00:00",N,10.101.20.89,
120,fbd756f540823ae6f463f809f449ab26,luciene,"2023-12-08 15:54:19",2023,12,08,"0000-00-00 00:00:00",N,10.101.20.89,
121,7ee61dcc30527ad52c1896775e1a2960,luciene,"2023-12-12 15:24:05",2023,12,12,"0000-00-00 00:00:00",N,10.101.20.89,
122,32cfde3bc76c7f41797ebfd6ab7eb788,luciene,"2023-12-13 15:40:27",2023,12,13,"0000-00-00 00:00:00",N,10.101.20.89,
123,c9cd72b91bead86c61e9677771e74eba,luciene,"2023-12-14 09:12:59",2023,12,14,"0000-00-00 00:00:00",N,10.101.20.89,
124,48f8c56ce58091d5ad65afa6bfffb4e3,admin,"2023-12-14 11:17:08",2023,12,14,"0000-00-00 00:00:00",N,10.101.20.89,
125,17b83ef5cf131ae57d58b42167b3de4e,luciene,"2023-12-15 07:49:12",2023,12,15,"0000-00-00 00:00:00",N,10.101.20.89,
126,3a9e4e32b5929561540d741930321cfe,luciene,"2023-12-18 10:44:56",2023,12,18,"0000-00-00 00:00:00",N,10.101.20.89,
127,d993da4e2dce44311ef3e251752ab59e,luciene,"2023-12-18 13:52:21",2023,12,18,"0000-00-00 00:00:00",N,10.101.20.89,
128,7711d28c13bc6ca88bac2262637660e6,luciene,"2023-12-19 14:02:55",2023,12,19,"0000-00-00 00:00:00",N,10.101.20.89,
129,c690bad5630e331fdbcf8a94e9d83635,luciene,"2023-12-19 16:26:10",2023,12,19,"0000-00-00 00:00:00",N,10.101.20.89,
130,8edcfed6d26c1774055da80135fb735f,luciene,"2023-12-20 09:22:28",2023,12,20,"0000-00-00 00:00:00",N,10.101.20.89,
131,14a4475bdf0905a9867ccbc9915e1e9b,luciene,"2023-12-20 14:46:37",2023,12,20,"0000-00-00 00:00:00",N,10.101.20.89,
132,8793e071f28b3ba817c1830a78d3df5d,luciene,"2023-12-21 08:11:57",2023,12,21,"0000-00-00 00:00:00",N,10.101.20.89,
133,58f9bfb5b43ea4b80c373ee741fe26d7,luciene,"2023-12-21 13:38:32",2023,12,21,"0000-00-00 00:00:00",N,10.101.20.89,
134,129901ed5190cba959f8df22f74847a6,admin,"2023-12-21 13:52:19",2023,12,21,"0000-00-00 00:00:00",N,10.101.20.89,
135,4ec4736500b9792137ba51963b0875f4,thainara,"2023-12-21 15:54:51",2023,12,21,"0000-00-00 00:00:00",N,10.101.20.89,
136,91f02ae5dc0968a8732221e53d855ca6,luciene,"2023-12-22 07:27:31",2023,12,22,"0000-00-00 00:00:00",N,10.101.20.89,
137,4fa965d21272851614051e97cd0ec1ee,luciene,"2023-12-22 13:37:53",2023,12,22,"0000-00-00 00:00:00",N,10.101.20.89,
138,11d8a018bf15bd8c587135fc586b0f66,admin,"2023-12-22 13:50:52",2023,12,22,"0000-00-00 00:00:00",N,10.101.20.89,
139,2b2c3d6bd2748743a27e066d75f0dbe6,admin,"2023-12-22 13:57:07",2023,12,22,"0000-00-00 00:00:00",N,10.101.20.89,
140,eac048b65797fa7bfefeb02f027a4942,luciene,"2023-12-22 14:07:04",2023,12,22,"0000-00-00 00:00:00",N,10.101.20.89,
141,cl268el4e0ktovo28mrckk9p6t,admin,"2024-01-04 11:56:55",2024,01,04,"2024-01-04 17:58:00",N,::1,
142,1de78kt4sft0esj9opio0lcp09,admin,"2024-01-04 19:07:48",2024,01,04,"2024-01-04 19:45:34",N,::1,
143,46mtfacbfflks0d12psrneedpk,admin,"2024-01-04 19:45:43",2024,01,04,"2024-01-04 19:54:15",N,::1,
144,cv8jo21515lust24rq8rha1r25,admin,"2024-01-04 19:54:21",2024,01,04,"2024-01-04 19:55:32",N,::1,
145,289dgdt4svp18j51f9qjdd8vlp,admin,"2024-01-04 20:00:58",2024,01,04,"2024-01-04 20:05:16",N,127.0.0.1,
146,f07idivp4pjpc4c9jglla9fo4s,admin,"2024-01-04 20:05:22",2024,01,04,"0000-00-00 00:00:00",N,127.0.0.1,
